Average Response Time,Request Type,Frequency,Size
192.49758310616016,1,2,1
414.8482501041144,1,2,1
121.5571251232177,1,2,1
132.61891691945493,1,2,1
131.0327909886837,1,2,1
132.04533304087818,1,2,1
129.78595797903836,1,2,1
170.9367500152439,1,2,1
165.1544999331236,1,2,1
149.66204110533,1,2,1
182.89391603320837,1,2,1
204.78337490931153,1,2,1
123.2852078974247,1,2,1
114.58725016564131,1,2,1
108.79737487994134,1,2,1
125.20670797675848,1,2,1
234.69195794314146,1,2,1
131.83987513184547,1,2,1
102.7172498870641,1,2,1
96.90283401869237,1,2,1
144.81558394618332,1,2,1
191.12704182043672,1,2,1
284.3803749419749,1,2,1
188.31062503159046,1,2,1
132.7931669075042,1,2,1
234.1797079425305,1,2,1
311.3241670653224,1,2,1
116.5440829936415,1,2,1
105.55325006134808,1,2,1
135.12279209680855,1,2,1
131.59191701561213,1,2,1
145.40404197759926,1,2,1
92.57891704328358,1,2,1
246.18670786730945,1,2,1
218.05316698737442,1,2,1
127.21358402632177,1,2,1
106.3008748460561,1,2,1
667.5674580037594,1,2,1
131.67854119092226,1,2,1
110.1398749742657,1,2,1
119.43000019527972,1,2,1
161.14579210989177,1,2,1
155.66741698421538,1,2,1
105.2770831156522,1,2,1
259.6451670397073,1,2,1
142.43145799264312,1,2,1
109.42950006574392,1,2,1
304.04991703107953,1,2,1
134.50466701760888,1,2,1
107.1819169446826,1,2,1
148.2345829717815,1,2,1
275.4018330015242,1,2,1
124.11087495274842,1,2,1
206.32745791226625,1,2,1
109.24254194833338,1,2,1
186.0788748599589,1,2,1
112.8092089202255,1,2,1
312.11445806548,1,2,1
99.1639168933034,1,2,1
131.57687499187887,1,2,1
291.75479197874665,1,2,1
130.05054206587374,1,2,1
151.13595803268254,1,2,1
124.08550013788044,1,2,1
106.84116603806615,1,2,1
105.07562500424683,1,2,1
108.49095904268324,1,2,1
131.08874997124076,1,2,1
123.13500000163913,1,2,1
186.31208408623934,1,2,1
